region_name,item_description,total_value,regional_total,percentage
Gujarat,CASTOR SEED,935999200.000000000,2896805871761.100000000,0.032311423
Gujarat,COMMERCIAL CASTOR OIL,930688751.000000000,2896805871761.100000000,0.032128102
Gujarat,COLD PRESS CASTOR OIL,912941335.500000000,2896805871761.100000000,0.031515448
Gujarat,TIRUPATI REFINED COTTON OIL 1 LTR BOTTLE,898076507.810000000,2896805871761.100000000,0.031002302
Gujarat,TIRUPATI SOYALITE REF SOYA OIL 1LTRPOUCH,885994174.000000000,2896805871761.100000000,0.030585211
Gujarat,GOODLIFE REF SUNFLOWER OIL 820GRM POUCH,847178490.890000000,2896805871761.100000000,0.029245263
Gujarat,TIRUPATI PREMIUM FILTERED GN OIL750MLPOU,802506202.550000000,2896805871761.100000000,0.027703141
Gujarat,TIRUPATI KACHIGHANI MUSTARDOIL870GRM BOT,772707571.030000000,2896805871761.100000000,0.026674469
Gujarat,TIRUPATI KACHI GHANI MUSTARD OIL 4.35 KG,761540312.750000000,2896805871761.100000000,0.026288966
Gujarat,TIRUPATI REF SOYABEAN OIL 4.25 KG JAR,724880857.680000000,2896805871761.100000000,0.025023453
Gujarat,TIRUPATI SOYALITE REF SOYAOIL 870GRM BOT,714580368.380000000,2896805871761.100000000,0.024667872
Gujarat,SUNPRIDE REF SUNFLOWER OIL 870 GRM BOT,712262934.550000000,2896805871761.100000000,0.024587873
Gujarat,TIRUPATI SOYALITE REF SOYAOIL 800GRM BOT,646863574.800000000,2896805871761.100000000,0.022330236
Gujarat,TIRUPATI MUSTARD OIL 4.350 KG JAR,638553491.180000000,2896805871761.100000000,0.022043365
Gujarat,MARUTI PALMOLIEN OIL 600 GRM POUCH,633381370.330000000,2896805871761.100000000,0.021864819
Gujarat,CRUDE PALM OLEIN OF EDIBLE GRADE,628095000.000000000,2896805871761.100000000,0.021682330
Gujarat,TIRUPATI SOYALITE REFSOYAOIL 435GRM BOT,612521490.560000000,2896805871761.100000000,0.021144720
Gujarat,TIRUPATI REFINED COTTON OIL 15 KG CHAKLI,612166485.270000000,2896805871761.100000000,0.021132465
