region,product,total_qty,total_revenue,qty_percentage,revenue_percentage
Gujarat,GOOD LIFE FILTER GROUNDNUT OIL  5LTR JAR,150,230885478.770000000,0.010000000,0.010000000
Gujarat,GOOD LIFE REF SUNFLOWER OIL 5 LTR JAR,0,230377840.140000000,0E-9,0.010000000
Gujarat,TIRUPATI REF RICE BRAN OIL 15 LTR CHAKLI,0,216818114.860000000,0E-9,0.010000000
Gujarat,REFINED SUNFLOWER OIL,0,212672193.000000000,0E-9,0.010000000
Gujarat,TIRUPATI REFINED COTTON OIL 200 ML POUCH,0,204782403.950000000,0E-9,0.010000000
Gujarat,ADVT. CHARGES FOR RADIO,15,201214857.960000000,0E-9,0.010000000
Gujarat,REFINED PALM OIL,0,193446422.000000000,0E-9,0.010000000
Gujarat,TIRUPATI KACHIGHANI MUSTARDOIL435GRM BOT,0,183885585.290000000,0E-9,0.010000000
Gujarat,TIRUPATI REFINED RICE BRAN OIL 1LTRPOUCH,976,182943177.660000000,0.100000000,0.010000000
Gujarat,CASTOR DE OIL CAKE LOOSE,0,182552375.410000000,0E-9,0.010000000
Gujarat,TYRE SET 8.25 X 20 FRONT UBHI NAKSHI-MRF,0,178759874.240000000,0E-9,0.010000000
Gujarat,TYRE SET 10.00 X 20 REAR AADI NAKSHI-MRF,0,171576466.010000000,0E-9,0.010000000
Gujarat,RBD PALM OIL OF EDIBLE GRADE,0,170500000.000000000,0E-9,0.010000000
Gujarat,TIRUPATI REF SOYABEAN OIL 750 GM POUCH,50,153731361.940000000,0E-9,0.010000000
Gujarat,WAFERS CLASSIC SALTED 25G RS 5 PROMO,0,148834945.250000000,0E-9,0.010000000
Gujarat,GOOD LIFE REF SUNFLOWER OIL 1 LTR POUCH,0,148340758.090000000,0E-9,0.010000000
Gujarat,SUNPRIDE REF SUNFLOWER OIL 15 LTR BUCKET,0,146930884.310000000,0E-9,0.010000000
Gujarat,TIRUPATI NAMKEEN SEV MURMURA M 30 GM 5RS,0,138156807.990000000,0E-9,0E-9
Gujarat,TYRE SET 8.25 X 20 REAR AADI NAKSHI-MRF,0,130521382.400000000,0E-9,0E-9
Gujarat,295/90 R20 RADIAL TYRE - FRONT,0,130159873.070000000,0E-9,0E-9
Gujarat,TIRUPATI SOYALITE REFSOYAOIL 500MLBOTTLE,0,128637953.380000000,0E-9,0E-9
Gujarat,TIRUPATI SOYALITE REF SOYABEANOIL13KGJAR,0,125269961.910000000,0E-9,0E-9
Gujarat,TIRUPATI REF SOYABEAN OIL 870 GM POUCH,0,122061853.370000000,0E-9,0E-9
Gujarat,CRUDE DEGUMMED SOYABENOIL EDIBLE GRADE,0,119621000.000000000,0E-9,0E-9
Gujarat,MARUTI REFINED COTTON OIL 15 LTR NT,0,118085962.730000000,0E-9,0E-9
Gujarat,TIRUPATI WAFERS CLASSIC SALTED 15 GM 5RS,0,113044210.310000000,0E-9,0E-9
Gujarat,TIRUPATI NAMKEEN SEV MURMURA P 30 GM 5RS,0,111696494.040000000,0E-9,0E-9
Gujarat,TIRUPATI SOYALITE REF SOYAOIL 1LTRBOTTLE,0,109317577.630000000,0E-9,0E-9
Gujarat,Rodtep Scrip,2,104750405.000000000,0E-9,0E-9
Gujarat,TAPL WAFERS CLASSIC SALTED 30G RS5 PROMO,0,104289216.640000000,0E-9,0E-9
Gujarat,OLIXIR COLDPRESS COCONUTOIL 500ML BOTTLE,0,101903771.930000000,0E-9,0E-9
Gujarat,ADVT.CHARGES FOR NEWS PAPER,9,98724912.000000000,0E-9,0E-9
Gujarat,TIRUPATI NAMKEEN NYLON PAPDI 22G 5RS,0,93673841.930000000,0E-9,0E-9
Gujarat,SLUDGE,0,92864986.880000000,0E-9,0E-9
Gujarat,TIRUPATI REFINED GROUNDNUT OIL 15 KG NT,0,86474663.260000000,0E-9,0E-9
Gujarat,TIRUPATI REF SOYABEAN OIL POU 16X750 ML,0,86375262.820000000,0E-9,0E-9
Gujarat,FATTY ACID (MIX),0,86232883.060000000,0E-9,0E-9
Gujarat,EXPELLER GROUNDNUT OIL,0,85080000.000000000,0E-9,0E-9
Gujarat,TIRUPATI REF.SOYABEAN OIL 16X 750 ML BOT,0,83197670.130000000,0E-9,0E-9
Gujarat,TIRUPATI NOODLES CHEESY CHATPATA 24G 5RS,540,83163578.710000000,0.050000000,0E-9
Gujarat,TIN SCRAP,0,82563530.140000000,0E-9,0E-9
Gujarat,TIRUPATI MUSTARD OIL 1 LTR BOTTLE,0,82166910.120000000,0E-9,0E-9
Gujarat,OLIXIR COLD PRESS SESAMEOIL 500ML BOTTLE,0,80434583.320000000,0E-9,0E-9
Gujarat,TIRUPATI WAFERS CRUNCHY MIRCHY 16 GM 5RS,0,80301584.470000000,0E-9,0E-9
Gujarat,TIRUPATI WAFERS CLASSIC SALTED 16 GM 5RS,0,78551638.730000000,0E-9,0E-9
Gujarat,TIRUPATI SNACKS SALTED PIPES 24G 5RS,495,76364562.790000000,0.050000000,0E-9
Gujarat,TIRUPATI SNACKS CRISS-CROSSMASALA24G 5RS,513,75096620.540000000,0.050000000,0E-9
Gujarat,RENT OFFICE,13,72133410.200000000,0E-9,0E-9
Gujarat,CASTOR OIL FATTY ACID(RICILONIC ACID<90%,0,71053661.300000000,0E-9,0E-9
Gujarat,SUNPRIDE REF SUNFLOWER OIL POU 16X750 ML,0,70645942.620000000,0E-9,0E-9
Gujarat,TIRUPATI SNACKS SALTED PIPES 22 GM 5RS,0,70612891.520000000,0E-9,0E-9
Gujarat,TIRUPATI PASTA MEXICAN CHILLI 24G 5 RS,495,69776504.550000000,0.050000000,0E-9
Gujarat,TIRUPATI KACHIGHANI MUSTARDOIL1LTRBOTTLE,0,69320055.610000000,0E-9,0E-9
Gujarat,GOOD LIFE REF SUNFLOWER OIL 15 LTR NT,0,67024998.080000000,0E-9,0E-9
Gujarat,TIRUPATI PASTA MEXICAN CHILLI 22 GM 5 RS,0,66921277.730000000,0E-9,0E-9
Gujarat,TIRUPATI NOODLES CHEESY CHATPATA 22GM5RS,0,63908754.070000000,0E-9,0E-9
Gujarat,HYDROGENATED PALM STEARINE- Edible Grade,0,63754200.000000000,0E-9,0E-9
Gujarat,SODIUM SULFATE ANHYDROUS,0,63626550.000000000,0E-9,0E-9
Gujarat,TIRUPATI NAMKEEN MOONG DAL 20G 5RS,0,63419602.100000000,0E-9,0E-9
Gujarat,TIRUPATI NAMKEEN BHAVNAGRIGANTHIYA22G5RS,0,62943082.750000000,0E-9,0E-9
Gujarat,TIRUPATI PREMIUM FILTERGNOIL 15KG CHAKLI,6,61957171.300000000,0E-9,0E-9
Gujarat,TIRUPATI NAMKEEN RATLAMI SEV 22G 5RS,0,61934117.200000000,0E-9,0E-9
Gujarat,WAFERS CRUNCHIT SALTED 25G RS 5 PROMO,0,61036938.360000000,0E-9,0E-9
Gujarat,GOLD BAR,0,59616487.400000000,0E-9,0E-9
Gujarat,TIRUPATI NAMKEEN CLASSIC SEV 22G 5RS,0,57709062.070000000,0E-9,0E-9
Gujarat,GLYCERINE,0,57397009.000000000,0E-9,0E-9
Gujarat,TIRUPATI SNACKS MOON CUPS-KM 22 GM 5RS,0,55479078.130000000,0E-9,0E-9
Gujarat,LEASE RENT INCOME,2,55200000.000000000,0E-9,0E-9
Gujarat,WAFERS MAGICAL MASALA 25G RS 5 PROMO,0,54999250.770000000,0E-9,0E-9
Gujarat,TIRUPATI SNACKS WHEELS HOT&SPICY 24GM5RS,360,54764702.870000000,0.040000000,0E-9
Gujarat,TIRUPATI REF SOYABEAN OIL 850 GM POUCH,0,53028319.340000000,0E-9,0E-9
