customer_id,customer_name
111351,KARMACHARI DHIRAN AND GRAHAK SAHAKA
112612,KARMA FOUNDATION
109336,KARMYOGI MART LIMITED
152862,KARNISINHJI KISHANSINHJI DESAI
101050,KARSANBHAI RANCHHODBHAI
111385,KAVITA ENTERPRISES
152827,KAYEM ENTERPRISE
114163,KCDC FOODS PRIVATE LIMITED
114155,KEDAR COTTON INDUSTRIES
113747,KEDAR ENTERPRISE
115055,KENIL HEALTHCARE PVT LTD
100275,KESHAV ENTERPRISES
112298,KESHAV HOLIDAY RESORT PVT LTD
111023,KESHO RAM MANGLA OIL INDUSTRIES
500410,K. F. Trading Co. Ltd.
101060,KHADIYA NAGRIK CONS CO OP STORE
101062,KHANAT TRADERS
103516,KHANDULAL JAVERCHAND -- KALAVAD
108992,KHATRI KIRANA STORE
101065,KHEMCHAND HIRACHAND SHAH
113062,KHODIYAR AGENCY
109942,KHODIYAR GENERAL STORE (BSRCK)
105048,KHODIYAR JANRAL & PROVI - SAKMARKET
105053,"KHODIYAR PROVI - JAGDISH BHAI,PARAD"
